Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
Autosomal recessive, Rare familial cases, Autosomal dominant with variable expression and incomplete penetrance, Mitochondrial form, Autosomal dominant with reduced penetrance, Autosomal dominant with variable expressivity, Autosomal recessive not excluded, but probably multifactorial, Autosomal dominant vs. X-linked, Male-limited, autosomal dominant, Male-limited autosomal dominant vs. Y-linked, Autosomal dominant plus dietary factor, XLD, No proved genetic factors, Autosomal recessive vs contiguous gene syndrome, Autosomal recessive vs. new dominant mutant, Autosomal recessive (infantile onset type), Autosomal dominant new mutations, No information on genetics, XLR, Autosomal recessive vs. pseudodominance, Somatic mutation, Autosomal recessive vs. autosomal dominant or multifactorial, X-linked vs. male-limited autosomal dominant, Autosomal dominant vs. polygenic, Autosomal recessive most frequent, autosomal dominant next, and X-linked recessive least frequent, Autosomal recessive with sex limitation, X-linked.  contiguous gene syndrome, Autosomal recessive vs. X-linked dominant, Severe autosomal recessive form, usually dominant, X-linked recessive (Xp21.2-q21.1), Autosomal recessive predisposition, Autosomal dominant somatic cell mutation, Isolated cases, Autosomal recessive and/or mitochondrial, X-linked, severe in males and mild in females, Genetic vs. viral, Autosomal recessive vs. viral or other etiology, Not likely mendelian, but shows familial aggregation, Autosomal dominant gene epistatic to other secondary genes conferring specificity to the autoimmune phenotype, X-linked vs. multifactorial with high male:female sex ratio, Autosomal dominant with sex influence, New dominant mutation with paternal age effect, Sex-limited autosomal dominant, X-linked form, Autosomal dominant vs. autosomal recessive with pseudodominance., Autosomal recessive vs. diabetic neuropathy, Autosomal dominant vs. pseudoautosomal, Autosomal recessive locus for high activity plus probably other loci, Autosomal recessive vs. multifactorial, Possible genetic factors, Autosomal recessive much rarer than X-linked, Familial factors over and above alpha1-antitrypsin, Non-Mendelian,  heritability, Autosomal dominant vs. Y-linked, Autosomal recessive vs. X-linked recessive, Male-limited autosomal dominant, Autosomal dominant with variable expression, Autosomal dominant vs. multifactorial, Most likely multifactorial, Autosomal recessive, dominance not excluded, Autosomal recessive gene accounts for 35% of variability, X-linked (  contiguous gene syndrome), Autosomal dominant for some such as methemoglobinemia, polycythemia, and Heinz body hemolytic anemia, Familial cases reported, but probably not Mendelian, Autosomal dominant vs. multifactorial form, X-linked dominant lethal in hemizygous males vs. autosomal dominant with female influence, No genetic information, X-linked predisposition, X-linked, polygenic influence, No familial case reported, Autosomal dominant, also other autosomal dominant forms, as well as autosomal recessive, and X-linked forms, Autosomal recessive in several families, Autosomal dominant with incomplete penetrance, Autosomal dominant (14q23-q24.2), Autosomal dominant susceptibility (6p23), AD, Polygenic or multifactorial with heritability of 56%, Probably multifactorial, AR, Unclear, Multifactorial, X-linked (Xp22.3), Non-mendelian, Multifactorial vs. autosomal dominant, Autosomal dominant vs. pseudodominance of recessive, Mitochondrial, Autosomal vs. X-linked dominant, Genetic differences in susceptibility to thalidomide are suspected but unproved, Familial aggregation without simple mendelian pattern	skeletalSkull, abdomenBiliaryTract, respiratoryLarynx, abdomenPancreas, headAndNeckNose, neoplasia, headAndNeckNeck, respiratoryNasopharynx, abdomenSpleen, genitourinary, cardiovascularVascular, respiratoryAirways, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, prenatalManifestationsMaternal, metabolicFeatures, genitourinaryInternalGenitaliaFemale, growthOther, growthWeight, prenatalManifestationsPlacentaAndUmbilicalCord, growthHeight, hematology, neurologicPeripheralNervousSystem, prenatalManifestationsMovement, headAndNeckEyes, skinNailsHairNails, respiratory, immunology, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, genitourinaryBladder, genitourinaryUreters, skeletalSpine, voice, skinNailsHairSkin, prenatalManifestationsAmnioticFluid, skeletalPelvis, genitourinaryKidneys, headAndNeckEars, skeletalFeet, headAndNeckFace, abdomenLiver, skeletalHands, prenatalManifestationsDelivery, chestDiaphragm, neurologicCentralNervousSystem, endocrineFeatures, chest, muscleSoftTissue, genitourinaryExternalGenitaliaFemale, skinNailsHairSkinElectronMicroscopy, abdomenExternalFeatures, chestBreasts, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, neurologic, abdomen, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, genitourinaryInternalGenitaliaMale, prenatalManifestations, skinNailsHairHair
FOXO1	RHABDOMYOSARCOMA 2; RMS2	Somatic mutation	neoplasia
ABCD4	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ	AR	abdomenExternalFeatures, growthOther, respiratory, cardiovascularVascular, abdomenGastrointestinal, cardiovascularHeart, genitourinaryInternalGenitaliaMale, hematology, headAndNeckFace, chestBreasts, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicCentralNervousSystem
METTL23	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 44; MRT44	AR	headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, headAndNeckHead, skeletalFeet, headAndNeckMouth, headAndNeckEyes
CD96	C SYNDROME	AD	skinNailsHairSkin, abdomenExternalFeatures, growthOther, skeletalPelvis, genitourinaryKidneys, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, abdomenLiver, headAndNeckHead, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skeletalSpine, genitourinaryExternalGenitaliaFemale
D2HGD	D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1	AR	respiratory, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, headAndNeckFace, neurologicCentralNervousSystem, laboratoryAbnormalities, muscleSoftTissue
CORO1A	IMMUNODEFICIENCY 8; IMD8	AR	neurologicCentralNervousSystem, immunology, neoplasia, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, respiratory, headAndNeckMouth
ATP1A3	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS; CAPOS | ALTERNATING HEMIPLEGIA OF CHILDHOOD 2; AHC2 | DYSTONIA 12; DYT12	AD	respiratory, headAndNeckEars, skeletalFeet, neurologicPeripheralNervousSystem, headAndNeckFace, neurologicCentralNervousSystem, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck
ATP1A2	MIGRAINE, FAMILIAL HEMIPLEGIC, 2; FHM2 | ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1	AD	neurologicCentralNervousSystem, headAndNeckEyes, metabolicFeatures
ATP1A1	HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION 2; HOMGSMR2 | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD; CMT2DD	AD	neurologicCentralNervousSystem, genitourinaryKidneys, skeletalFeet, neurologicPeripheralNervousSystem, skeletalHands, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
CDC45	MEIER-GORLIN SYNDROME 7; MGORS7	AR	skeletalSkull, growthOther, chestBreasts, growthWeight, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckNose, skeletalHands, headAndNeckEyes, respiratoryLung, skeletalLimbs, headAndNeckHead, neurologicCentralNervousSystem, genitourinaryInternalGenitaliaMale, headAndNeckMouth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, genitourinaryUreters, skeletalSpine, genitourinaryExternalGenitaliaFemale
DFNA47	DEAFNESS, AUTOSOMAL DOMINANT 47; DFNA47	AD	headAndNeckEars
SPG11	AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENILE; ALS5 | SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE; SPG11 | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2X; CMT2X	AR	headAndNeckFace, neurologicCentralNervousSystem, growthWeight, skeletal, skeletalFeet, headAndNeckMouth, neurologicPeripheralNervousSystem, genitourinaryBladder, respiratory, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue
MYMY1	MOYAMOYA DISEASE 1; MYMY1	AR	
MJD	MACHADO-JOSEPH DISEASE; MJD	AD	genitourinaryBladder, neurologicCentralNervousSystem, headAndNeckEyes, abdomenGastrointestinal, muscleSoftTissue, neurologicPeripheralNervousSystem
IFIH1	SINGLETON-MERTEN SYNDROME 1; SGMRT1 | AICARDI-GOUTIERES SYNDROME 7; AGS7	AD	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, growthHeight, hematology, growthWeight, headAndNeckFace, abdomenLiver, respiratory, skeletalHands, headAndNeckEyes, cardiovascularVascular, skeletalLimbs, abdomenSpleen, genitourinaryKidneys, neurologicCentralNervousSystem, immunology, skeletal, headAndNeckMouth, headAndNeckTeeth, muscleSoftTissue, skinNailsHairNails
WNT10B	SPLIT-HAND/FOOT MALFORMATION 6; SHFM6 | TOOTH AGENESIS, SELECTIVE, 8; STHAG8	AR, AD	skinNailsHairSkin, skeletalHands, headAndNeckEyes, skeletalFeet, skinNailsHairHair, headAndNeckTeeth
MYMY4	MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4	XLR	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, headAndNeckEars, genitourinaryInternalGenitaliaMale, growthHeight, headAndNeckFace, cardiovascularHeart, headAndNeckNose, skeletalHands, headAndNeckEyes, skinNailsHairHair
DHS6S1	MACULAR DYSTROPHY, RETINAL, 1, NORTH CAROLINA TYPE; MCDR1	AD	headAndNeckEyes
HMGB3	MICROPHTHALMIA, SYNDROMIC 13; MCOPS13	X-linked	skeletalSkull, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckTeeth, headAndNeckEyes, skeletalSpine
EEF1A2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 33; EIEE33 | MENTAL RETARDATION, AUTOSOMAL DOMINANT 38; MRD38	AD	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckNose, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
FERM	CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA; CCAFCA | MENTAL RETARDATION, X-LINKED 104; MRX104	AR, X-linked	growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair
STE24	RESTRICTIVE DERMOPATHY, LETHAL | MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY; MADB	AR	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, skeletalSkull, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckNeck, prenatalManifestationsDelivery, cardiovascularVascular, endocrineFeatures, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, growthOther, headAndNeckHead, cardiovascularHeart, prenatalManifestationsPlacentaAndUmbilicalCord, prenatalManifestationsMovement, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, skeletalLimbs, skinNailsHairNails, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, genitourinaryUreters, skeletalSpine, skinNailsHairHair
SPNS2	DEAFNESS, AUTOSOMAL RECESSIVE 115; DFNB115	AR	headAndNeckEars
KIAA0125	POLYDACTYLY, POSTAXIAL, TYPE A10; PAPA10	AR	skeletalFeet, skeletalHands
ABAT	GABA-TRANSAMINASE DEFICIENCY	AR	headAndNeckFace, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, voice, growthHeight
CTRCT29	CATARACT 29; CTRCT29	AD	
NAFLD2	FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 2; NAFLD2	Multifactorial	abdomenLiver
NAFLD1	FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 1; NAFLD1	Multifactorial	abdomenLiver
BIN1	MYOPATHY, CENTRONUCLEAR, 2; CNM2	AR	respiratory, abdomenGastrointestinal, skeletal, skeletalFeet, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, neurologicPeripheralNervousSystem, headAndNeckFace, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue
LOX	AORTIC ANEURYSM, FAMILIAL THORACIC 10; AAT10	AD	skinNailsHairSkin, abdomenExternalFeatures, neurologicCentralNervousSystem, cardiovascularVascular, cardiovascularHeart, growthHeight, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, headAndNeckEyes, skeletalSpine, skeletalLimbs
VIPAR	ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 2; ARCS2	AR	skinNailsHairSkin, growthOther, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, hematology, headAndNeckFace, abdomenLiver, laboratoryAbnormalities, genitourinaryKidneys, neurologicCentralNervousSystem, immunology, skeletal, cardiovascularHeart, metabolicFeatures
DAB1	SPINOCEREBELLAR ATAXIA 37; SCA37	AD	neurologicCentralNervousSystem, headAndNeckEyes, abdomenGastrointestinal
DDR2	WARBURG-CINOTTI SYNDROME; WRCN | SPONDYLOMETAEPIPHYSEAL DYSPLASIA, SHORT LIMB-HAND TYPE	AR, AD	skinNailsHairSkinElectronMicroscopy, skeletalSkull, skeletalPelvis, cardiovascularHeart, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, respiratoryLung, headAndNeckNeck, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, endocrineFeatures, skinNailsHairSkinHistology, skeletal, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, headAndNeckEars, skinNailsHairSkin, skeletalSpine, chestExternalFeatures
WDR45B	NEURODEVELOPMENTAL DISORDER WITH SPASTIC QUADRIPLEGIA AND BRAIN ABNORMALITIES WITH OR WITHOUT SEIZURES; NEDSBAS	AR	neurologicCentralNervousSystem, headAndNeckHead, skeletalSpine, muscleSoftTissue, skeletal, headAndNeckEyes
ZNF41	MENTAL RETARDATION, X-LINKED 89; MRX89	XLD	neurologicCentralNervousSystem, laboratoryAbnormalities
IFT80	SHORT-RIB THORACIC DYSPLASIA 2 WITH OR WITHOUT POLYDACTYLY; SRTD2	AR	skeletalFeet, chestExternalFeatures, skeletalHands, skeletalLimbs
IFT81	SHORT-RIB THORACIC DYSPLASIA 19 WITH OR WITHOUT POLYDACTYLY; SRTD19	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenExternalFeatures, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, respiratoryLung, skeletalLimbs, neurologicCentralNervousSystem, chestRibsSternumClaviclesAndScapulae, genitourinaryExternalGenitaliaMale, cardiovascularHeart
AASS	HYPERLYSINEMIA, TYPE I | SACCHAROPINURIA	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, laboratoryAbnormalities
UBTF	NEURODEGENERATION, CHILDHOOD-ONSET, WITH BRAIN ATROPHY; CONDBA	AD	neurologicCentralNervousSystem, growthWeight, abdomenGastrointestinal, headAndNeckHead
OPHN1	MENTAL RETARDATION, X-LINKED, WITH CEREBELLAR HYPOPLASIA AND DISTINCTIVE FACIAL APPEARANCE	XLR	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations
KIF4A	MENTAL RETARDATION, X-LINKED 100; MRX100	XLR	headAndNeckFace, neurologicCentralNervousSystem
ACTA2	AORTIC ANEURYSM, FAMILIAL THORACIC 6; AAT6 | MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME	AD	respiratory, cardiovascularVascular, abdomenGastrointestinal, genitourinaryInternalGenitaliaMale, genitourinaryBladder, neurologicCentralNervousSystem, headAndNeckEyes, respiratoryLung
IIE	TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6	AR	skinNailsHairSkin, skeletalSkull, neurologicCentralNervousSystem, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, hematology, headAndNeckEyes, skeletal, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, growthWeight
ARHGEF18	RETINITIS PIGMENTOSA 78; RP78	AR	headAndNeckEyes
Caused by mutation in the fumarate hydratase gene (FH	FUMARASE DEFICIENCY; FMRD | HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC	AR, AD	skinNailsHairSkin, growthOther, headAndNeckHead, hematology, headAndNeckFace, headAndNeckNose, neoplasia, laboratoryAbnormalities, abdomenLiver, neurologicCentralNervousSystem, headAndNeckMouth, headAndNeckEyes, muscleSoftTissue, metabolicFeatures, genitourinaryInternalGenitaliaFemale
CDCA7	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 3; ICF3	AR	headAndNeckNose, neurologicCentralNervousSystem, immunology, headAndNeckEyes, abdomenGastrointestinal, laboratoryAbnormalities
IIC	DRUG METABOLISM, POOR, CYP2C19-RELATED	AR	metabolicFeatures
FIP1L1	HYPEREOSINOPHILIC SYNDROME, IDIOPATHIC; HES	Somatic mutation	skinNailsHairSkin, neurologicCentralNervousSystem, immunology, cardiovascularHeart, hematology, neurologicPeripheralNervousSystem, abdomenLiver, respiratoryLung, muscleSoftTissue, cardiovascularVascular, abdomenSpleen
TIMM50	3-METHYLGLUTACONIC ACIDURIA, TYPE IX; MGCA9	AR	genitourinaryBladder, growthOther, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
HOMER2	DEAFNESS, AUTOSOMAL DOMINANT 68; DFNA68	AD	headAndNeckEars
III	DEAFNESS, AUTOSOMAL RECESSIVE 112; DFNB112 | EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC | 17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY | UNCOMBABLE HAIR SYNDROME 1; UHS1 | PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 5; PEOB5 | PORPHYRIA, CONGENITAL ERYTHROPOIETIC; CEP | LEBER OPTIC ATROPHY | LEIGH SYNDROME; LS | LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD8 | POLYMICROGYRIA WITH OR WITHOUT VASCULAR-TYPE EHLERS-DANLOS SYNDROME; PMGEDSV | ANTITHROMBIN III DEFICIENCY; AT3D | MITOCHONDRIAL COMPLEX IV DEFICIENCY | CORNEAL DYSTROPHY, FLECK | BRUGADA SYNDROME 7; BRGDA7 | LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7 | MICROCEPHALY, GROWTH RESTRICTION, AND INCREASED SISTER CHROMATID EXCHANGE 2; MGRISCE2 | MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 4; MC3DN4 | EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 4; FFEVF4 | EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 62; EIEE62	AR, Mitochondrial, AD	skinNailsHairSkin, genitourinaryKidneys, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckNeck, prenatalManifestationsDelivery, abdomenSpleen, headAndNeckHead, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, metabolicFeatures, genitourinaryInternalGenitaliaFemale, abdomenExternalFeatures, growthOther, chestBreasts, growthWeight, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, neurologicPeripheralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, respiratory, immunology, skeletal, genitourinaryInternalGenitaliaMale, abdomenLiver, headAndNeckTeeth, genitourinaryBladder, skeletalSpine, skinNailsHairHair
MUC1	MEDULLARY CYSTIC KIDNEY DISEASE 1; MCKD1	AD	laboratoryAbnormalities, cardiovascularVascular, hematology, metabolicFeatures, genitourinaryKidneys
ERMARD	PERIVENTRICULAR NODULAR HETEROTOPIA 6; PVNH6	AD	neurologicCentralNervousSystem, headAndNeckEyes
