Gene	Inheritance
Contiguous gene syndrome caused by 6-Mb duplication of 15q11-q13 {UMLS C4013203}	AD
HELLS	AR
ASH1L	AD
1B3	Digenic recessive
DNA	Autosomal dominant (loss of paternal allele), AR, Mitochondrial, XLR, AD
ADP	AR
PCOS1	AD
TRIM37	AR
DDRGK	AR
CACNA1D	AR, AD
CA8	AR
G6PC3	AR
AT3	AD
ADA	AR
HIST1H1E	AD
ADK	AR
ATCAY	AR
SOS1	AD
PKD2	AD
PKD1	AD
GJC2	AR, AD
CACNA1E	AD
ZIC3	XLR
PRKACG	AR
PRKACA	AD
PSMB8	AR
CYP2U1	AR
TMEM237	AR
PSMB4	AR
TMEM231	AR
ABCB6	AD
HIVEP2	AD
JAGN1	AR
EOGT	AR
SPG7	AR
MCC	Somatic mutation
TUPLE1	AD
UBB	AD
ACKR1	AR, AD
OVOL2	AD
PCCB	AR
GNAT1	AR, AD
P2RX2	AD
DEL8q13	AD
MBL2	AD
LALL	Acquired specific neoplasm by autosomal recessive mechanism through somatic cell mutation
PHOX2B	AD
Caused by mutation in the glycerol kinase gene (GK	XLR
KCNK4	AD
ESCO2	AR
HADHA	AR
MLH3	Somatic mutation
CRY1	AD
MLH1	AR, AD
KCNK3	AD
CTU2	AR
MAN1B1	AR
VPS13D	AR
MSX2	AD
EAR	AR
HSD11B2	AR
SH3KBP1	XLR
VPS13C	AR
VPS13B	AR
GATAD2B	AD
E	AR, AD, XLR
KIAA0556	AR
TRAF7	AD
SHOX	AR, AD
NUP160	AR
TMPRSS3	AR
ALS2	AR
ALS3	AD
TMPRSS6	AR
SLC35A2	XLD
EA8	AD
LRRC50	AR
CHD2	AD
LRRC56	AR
BBS5	AR
TCTEX1D2	AR
EA3	AD
FOXN1	AR
EA7	AD
ABCC11	AD
KIAA0226	AR
CECR	AD
CHD7	AD
SLC16A2	X-linked
DEPDC	AD
PMVK	AD
PFBI	AR
DSPS	AD
ASXL1	AD
GRIN2A	AD
KLHDC8B	AR
EMG1	AR
GNA11	Autosomal dominant with locus heterogeneity (19p13.3), AD
SDHA	AR, AD
SDHC	AD
SDHB	AD
SDHD	AR, AD
PPCS	AR
SH2B3	AD, Somatic mutation
TAP1	AR
TAP2	AR
GLC3B	AR
BUB1B	AR, AD, Somatic mutation
SUMO1	Isolated cases
TMCO1	AR
FKBP14	AR
USP9X	XLD, XLR
NYS7	AD
EOS	AD
MOCS2	AR
MOCS1	AR
SBF2	AR
ATXN2	AD
L1CAM	XLR
ATP11C	XLR
NOTCH	AD
ALG12	AR
SLC2A2	AR, AD
BLOC1S6	AR
DLG3	XLR
LHX3	AR
BLOC1S3	AR
ACTG2	AD
CDC73	AD
ADSSL1	AR
LCS1	AR
LINS1	AR
P5CDH	AR
SMOC1	AR
F1	AR, AD
DUP22q11.2	AD
Contiguous gene syndrome caused by deletion (2.2 Mb) of chromosome 17q23.1-q23 {UMLS C3150615}	Isolated cases
HYT3	Multifactorial
Caused by a trinucleotide repeat expansion CAG(n) in the androgen receptor gene (AR	XLR
PDE6C	AR
HTR2A	AD, Probably multifactorial, genetically influenced
LMBRD1	AR
NADK2	AR
CA4	AD
HPFH2	AD
IGF1R	Isolated cases, AD
DFNM1	AD
LHB	AR
CAAX	AD
TPM3	AD
POLR1A	AD
TAS2R16	AD, Probably multifactorial, genetically influenced
ETL3	AD
PTDSS1	AD
SLC38A8	AR
CAMK2B	AD
SLC45A2	AR
OCA5	AR
RDH5	AD
SRXY10	AD
COQ8B	AR
CSF3R	AR, AD
OCA2	AR
OSBPL2	AD
ATL3	AD
CYP3A5	Multifactorial
SHFM3	AD
SHFM2	X-linked (Xq26)
SHFM1	AD
member 3 gene ({609826.0001})	AR
STIL	AR
HCN1	AD
TUBB4B	AD
TUBB4A	AD
HCN4	AD
HMSN5	AD
RAB27A	AR
APOC2	AR
DFNB83	AR
EVH1	AD
MTTC	Mitochondrial
AR	Somatic mutation
SLC30A8	AD
IL7R	AR
SMC1A	XLD
CMM	AD
FAM20C	AR
NFU1	AR
TNFRSF13B	AR
LRIT3	AR
CHST8	AR
HYOU1	AR
TMEM98	AD
PRSS2	AD
ANO3	AD
M4	AR
Caused by a 260-kb duplication on chromosome 11q12.2-11q12.3. {UMLS C3149541}	AD
POLR1C	AR
IMPAD1	AR
TANGO2	AR
DYNC1I2	AR
M2	AR, AD
TMEM132E	AR
COL3A1	AR, AD
STIP1	AR, AD
CCDC111	AD
HHT4	AD
MC4R	Autosomal dominant Autosomal recessive, AD
ATX2	AD
CHIC2	AD
BMS1	AD
WDR45	XLD
OFC3	AD
RAB3GAP1	AR
PEPD	AR
TBC1D23	AR
LTC4S	AR
TBC1D20	AR
JAK2	AR, AD, Somatic mutation
JAK3	AR
ATR	AR, AD
TBC1D24	AR, AD
TNFRSF4	AR
TNFRSF5	AR
GRM6	AR
TNFRSF7	AR
DUH1	AD
GRM1	AR, AD
IFNGR2	AR
ALPK3	AR
GUCY2C	AR, AD
GUCY2D	AR, AD
DST	AR
HOXB1	AR
DSP	AR, AD
TP53RK	AR
PPARG	AD
Contiguous gene syndrome caused by mosaicism for tetrasomy of chromosome 12p {UMLS C4012618}	Somatic mosaicism
CLCN1	AR, AD
TMEM94	AR
GLMN	AD
THBD	AD
DSE	AR
FSIP2	AR
DCDC2	AR
FOXD3	AD
IFNG	AD
F7	AR
POC1B	AR
PTF1A	AR
DNAJC6	AR
IGAN1	AD
HES7	AR
INS	AD
C8A	AR
CNGB1	AR
RWS	AD
TTC37	AR
GUST	X-linked (Xq26)
SLC18A3	AR
SLC18A2	AR
CCND2	AD
CDC42	AD
Caused by mutation in the coagulation factor 2 gene (F2	AD
CNGB3	AR
CD19	AR
SWIM	AD
ACP5	AR
HMX1	AR
MAP3K1	AD
ACP2	AR
PKHD1	AR
SNIP1	AR
GLA	X-linked
GLB	AR
ARFGEF2	AR
Caused by a 1.37Mb deletion on 4q21 encompassing 5 genes {UMLS C3278924}	Isolated cases
C8B	AR
SLC2A10	AR
MKRN3	AD
{601397})	AD
RORA	AD
LHFPL5	AR
FKBP10	AR
SAR1	AR
NNO1	AD
ETL4	AD
TBC1	AR, AD, X-linked
HSR	Autosomal dominant vs. multifactorial
ACO2	AR
Contiguous gene syndrome caused by homozygous deletion of approximately 122Kb on chromosome 11p15-p14 {UMLS C1847870}	AR
SCZD11	AD
NT5C3A	AR
GNASAS	AD
NR2F2	AD
ATOH7	AR
BHLHB3	AD
ACAT2	Isolated cases
12S	Mitochondrial
DDB2	AR
MECR	AR
Caused by mutation in the Rho guanine nucleotide exchange factor-6 gene ({300267.0001})	XLR
MCOP1	AR
KIF21A	AD
GP9	AR
P4HTM	AR
PRDM16	AD
IARS	AR
BBS9	AR
F	AR, AD
AUH	AR
ZNF81	X-linked
MARVELD2	AR
CEP41	AR
ATP5F1D	AR
SUGCT	AR
FRMPD4	X-linked
LDLR	AD
MEHMO	XLR
EVC	AR, AD
13A2	AR
MAX	AD
HCRT	AD
Caused by mutation in the kyphoscoliosis peptidase gene (KY	AR
Caused by a deletion of 11q23 {UMLS C3276957}	Isolated cases
LRIG2	AR
CYP2C9	AD
IL2RA	AR, Autosomal locus and allelic heterogeneity
IL2RB	AR
TBCK	AR
SLC17A9	AD
RAB33B	AR
AK2	AR
AK1	AR
IL21R	AR, AD
LIS1	AD
MTTK	AR, Mitochondrial
LRMDA	AR
SLC17A3	AD
ME2	AD
H2	AR, XLD
ATP13A2	AR
MRAP2	AD
CDK5RAP2	AR
SARS	AR
SMARCAD1	AD
PRKD1	AD
AHSG	AR
IBA57	AR
ERBB2	Somatic mutation, AD
H1	AR, AD
MYF5	AR
ITCH	AR
FMO3	AR
DHFR	AR
AVP	AD
CHMP4B	AD
NUS1	AR, AD
BAX	Somatic mutation
PLCG2	AD
ERF	AD
BSND	AR
ERA	AR
EPS8	AR
CHST3	AR
TRMU	AR, Mitochondrial
COL5A1	AD
LARS2	AR
ERAL1	AR
GPI	AR
DNAL4	AR
PPR1	AD
GFI1B	AD
PEX26	AR
SLC37A4	AR
LPIN1	AR
GJB1	XLD
CAG	AD
GJB3	AR, AD
GJB2	AR, AD
KLHL41	AR
FAM126A	AR
GJB6	AR, AD
GPR126	AR
KLF6	Somatic mutation
LTBP4	AR
GZF1	AR
SELENON	AR, AD
KLF1	AD
ST3	AR
ATP6V1B1	AR
ATP6V1B2	AD
GEFSP4	AD
IDH1	AD
MTTV	AR
CANDF1	AD
HEATR2	AR
RBM20	AD
DEL17p13.1	AD
MTTH	Mitochondrial
HAD	AR
SLC24A4	AR
HYPT5	AD
FBN2	AD
REST	AD
FBN1	AD
CCDC78	AD
STS	XLR
CYP19A1	Male-limited autosomal dominant vs. autosomal recessive or X-linked
TRIP11	AR
TRIP12	AD
TRIP13	AR
MMP21	AR
ASCC1	AR
P2RY5	AR
POU1F1	AD
SLC25A22	AR
IL17RD	Autosomal dominant (see MISCELLANEOUS below)
TCTEX1	AR
IFT172	AR
TFG	AR, AD
DPYD	AR
BAAT	AR
THM	AR
NUP37	AR
PLAG1	Somatic mutation
OGDH	AR
SCN1B	AR, AD
PET100	AR
SCN1A	AD
SLC1A4	AR
CYP11B2	AR, AD
CYP11B1	AR, AD
FUCA1	AR
SLC1A2	AD
DNAL1	AR
SCZD8	AD
TGM1	AR
GRHPR	AR
DEL15q15.3	AR
TGM5	AR
SFTPB	AR
KDM1A	AD
LIM	XLD, AD, X-linked, XLR
TSG101	AD
SPTB	AD
VCL	AD
CLDN10	AR
IKBKB	AR, AD
DOCK6	AR
SOST	AR, AD
IKBKG	XLD, XLR
LMAN1	AR
FOXI1	AR
FEZF1	AR
TMEM173	AD
GD5	AD
DPYS	AR
RARB	AD
ACE	AR
SBF1	AR
RAI1	AD
TSFM	AR
TMEM107	AR
ACD	AD
VAMAS6	Epistatically interacting multiple autosomal recessive
ADRA2B	AD
SETD5	AD
RE	AD
RARS	AR
MIPEP	AR
RA	Unproved inheritance
Caused by mutation in the pyruvate carboxylase gene (PC	AR
DYRK1A	AD
MKKS	AR
DYRK1B	AD
MTMR2	AR
ENFL2	AD
WT1	AD, Somatic mutation
FASTKD2	AR
WT3	AD
WT4	AD
PLBP	AR
FAMILY	AD
KIZ	AR
NR3C2	AD
DHTKD1	AR, AD
CXDUPq26.3	XLD
HLA-DRB1	AD, Multifactorial
SMARCAL1	AR
IMPA1	AR
CCDC151	AR
PHGDH	AR
USH3A	AR
SNAI2	AR, AD
UFC1	AR
KITLG	AD
NME1	AD
MUTYH	AR, Somatic mutation
JAG1	AD
COG1	AR
SLC2A9	AD
SYT1	AD
SYT2	AD
CD40	AR
PLCZ1	AR
TRAIP	AR
SLC2A1	AD
ECHS1	AR
MHS3	Autosomal dominant form (unlinked to 19q or 17q)
RHO	AD
PLAGL1	Autosomal dominant (loss of maternal allele)
C15ORF41	AR
CCL2	AD
CAVIN1	AR
NOBOX	AD
Caused by deletion (4.06 Mb) of chromosome 14q22.1-q22.3 {UMLS C4013313}	AD
TENM4	AD
ECTD8	AR
COLQ	AR
EXOSC8	AR
EXOSC9	AR
CEP104	AR
EXOSC2	AR
VANGL1	AD
VANGL2	AD
P2Y	AR
P2X	AD
AMELX	XLD
Contiguous gene syndrome caused by deletion of 3.2Mb deletion on 8q22.1 {UMLS C4013145}	AD
COG7	AR
HCCS	XLD
GTF2E2	AR
TUBB6	AD
XXVIIA	AR
ADAMTSL4	AR
EPRPDC	AR
CYB561	AR
TULP1	AR
SHFL1	AD
Linked to a locus at 7p15-p11.2. {UMLS C1832100}	AD
MAFD1	AD
MRT35	AR
DISC2	AD
MADS	AD
Caused by mutation in the thyroglobulin gene (TG	AR
TACSTD2	AR
LMPH1B	AD
Caused by interstitial or terminal deletion of chromosome 18q {UMLS C1866209}	AD
COA7	AR
DRC1	AR
SLC46A1	AR
CRB2	AR
COA6	AR
G	AR, XLR, X-linked, AD
ENG	AD
STBMS1	Familial, but no simple Mendelian inheritance established
Contiguous gene syndrome caused by deletion (0.3 to 5.6 Mb) of chromosome 1p35 {UMLS C4693671}	AD
ZFPM2	AD
CA12	AR
C5orf42	AR
AD5	AD
COA3	AR
F12	AR, AD
F10	AR
HNRNPDL	AD
ASPM	AR
CRYBB2	AD
A contiguous gene deletion syndrome involving deletion of 1.4Mb on chromosome 17q11.2 {UMLS C3279073}	AD
G6PT1	AR
ACOX1	AR
MMTV	AR, AD
TELAB1	AD
PCDH12	AR
SARDH	AR
ARMC2	AR
SLX4	AR
ALKBH8	AR
GPR98	AR
VPS53	AR
MIFT	AR
PCDH19	X-linked
GUCA1A	AD
CDKAL1	AD
KRT74	AR, AD
ATD	AR
DUP2q35	AD
GNAI2	AD
TMEM126A	AR
TMEM126B	AR
MDBS2	AD
MOCOS	AR
DLX4	AD
SCYL1	AR
1A	AR, XLD, AD, XLR
PHOX2A	AR
1C	AR, AD, XLR
1B	AR, AD
SMPD1	AR
HAAO	AR
ATP	AR, Mitochondrial
BRIP1	AD
FLT4	AD
CACNB4	AD
FLT3	AD
SLC24A5	AR
OSTM1	AR
DEL6pter	Isolated cases
SET	AD
CYP1B1	AR
HTGH	AR
DNAJB2	AR
ATP5A1	AR
HFE2	AR
VKORC1	AD
DNAJB6	AD
SLC45A1	AR
HMS1	X-linked (Xq28)
FANCE	AR
MRX92	XLR
FANCC	Autosomal recessive with at least two loci and multiple alleles
FANCB	XLR
Linked to locus at 17q12-q21. {UMLS C1832427}	AD
TTC25	AR
FANCM	AR
FANCL	AR
PATL2	AR
FANCI	AR
CA5A	AR
SAS6	AR
COL25A1	AR
PDZ	AR, X-linked
THAP1	AD
F13B	AR
MIR184	AD
GUSB	AR
PCDH15	AR
IMP	AD
ELMOD3	AR
ENO3	AR
FGF12	AD
Contiguous gene syndrome caused by minimum 660kB deletion within a hotspot on chromosome 15q25.2-q25.3 {UMLS C4229691}	AD
COL17A2	AR
Susceptibility conferred by a duplication on chromosome 15q13-q14	AD
COL17A1	AR, AD
HYAL1	AR
BPPV	AD
FAM65B	AR
SLC22A18	AR, Somatic mutation, AD
ACOX2	AR
IS1	Autosomal dominant vs. multifactorial
KNG1	AR
SLC22A12	AR
IRS1	AD
IRS2	AD
FGF16	XLR
HNRNPH2	XLD
TRAPPC6B	AR
CDK4	AD
CDK5	AR
NSMCE2	AR
NSMCE3	AR
IGLL1	AR
FAME4	AD
LPAR6	AR
CALR	AD, Somatic mutation
MRX20	X-linked
ADFN	X-linked
MAPKBP1	AR
MATR3	AD
MYP18	AR
1B1	Digenic recessive
DZIP1L	AR
MSH2	AR, AD
CEP55	AR
MSH5	AR
MSH6	AR, AD
LIMS2	AR
BPP	XLD
TMIE	AR
FRIASS	AD
CUL3	AD
TAPVR1	AD
ANOS1	XLR
SCA4	AD
DR	AD
ODC1	Somatic mutation
SMAD	AR
MSX1	AD
RERE	AD
20S	XLR
RELT	AR
DEL8q12q21	Autosomal dominant contiguous gene syndrome
XPA	AR
INPPL1	AR
DDHD1	AR
ADCK4	AR
DDHD2	AR
ADCK3	AR
SZT2	AR
SUN5	AR
RIPK1	AR
HSPD1	AR, AD
SCN2A	AD
MTPAP	AR
DNAJC13	AD
NFKBIL1	Unproved inheritance
TECRL	AR
USH1C	AR
ENDO1	AR
XPR1	AD
RLIM	X-linked
USH1G	AR
USH1E	AR
GREM2	AD
PRKCH	Multifactorial predisposition
MATN3	Sex-influenced autosomal dominant, AR, AD
COPA	AD
LIAS	AR
Caused by mutation in the GEM-associated protein 4 gene (GEMIN4. {606969.0001})	AR
DHH	AR
HACE1	AR
PRKCD	AR
MLL	AD
PDSS2	AR
INTU	AR
S23	AD
PADI3	AR
Contiguous gene syndrome caused by deletion of 18p11.21-p11.1 {UMLS C3549826}	AD
S26	AD
PADI4	Unproved inheritance
S24	AD
PADI6	AR
HBA1	AD
UCP1	AD
LMNA	AR, AD
HBA2	AD
NAT8L	AR
TOE1	AR
SLC6A20	AR, AD
PEE1	AD
FBXL3	AR
NRL	AD
GPIHBP1	AR
NRIP1	AD
ELAC2	AR
RAPSN	AR
BP1	AD
TYMP	AR
BP2	AD
SPG14	AR
D4	AD
D2	AR, AD
D3	AR, AD
D1	AR, AD
FLVCR2	AR
FLVCR1	AR
WD	AR, XLD, AD, XLR
METTL13	AD
ACTG1	AD
ADD1	Multifactorial
MFRP	AR
TBX21	AR
FBXO11	AD
TACO1	AR
CHSY1	AR
WW	AR, AD
TPI1	AR
PCK1	AR
VPS37A	AR
FAM189A2	AD
TMEM106B	AD
CWC27	AR
DEL11p15p14	AR
SYNE2	AD
MAP3K8	Somatic mutation
26S	AD
IRF7	AR
PPP1R3A	AD
PNPLA2	AR
SMO	Somatic mosaicism
KSR	X-linked
PRPF31	AD
TUSC3	AR
DEAF1	AR, AD
MAP3K7	AD
IER3IP1	AR
C15orf41	AR
PLA2G6	AR
PLA2G7	Autosomal dominant vs. multifactorial, AR, AD
ARIX	AR
PLA2G5	AR
ALG9	AR
PITX1	AD
LARP7	AR
NUP214	AR, AD
TRPV4	AD
TRPV6	AR
MAP3K20	AR
TRPV3	AD
CREB3L1	AR
ATPAF2	AR
ERBB3	AR, AD
XIB	AR, AD
CTSK	AR
HAL	AR
TBXAS1	AR, AD
ERBB4	AD
H	AR, AD
CTSB	AD
CTSC	AR
CTSD	AR
CTSF	AR
DUP16p13.3	AD
RPL15	AD
AFP	AR, AD
RPL10	XLR
RPL11	AD
RPL12	AD
SETD2	AD
FGFR2	AD
FGFR3	Somatic, Somatic mutation, AD
FGFR1	Somatic mosaicism, AD
PCYT1A	AR
COL10A1	AD
INPP5E	AR
P4HA2	AD
DFNB38	AR
INPP5K	AR
NME8	AR
FREM2	AR
FREM1	AR, AD
SYP	XLR
MYP10	Multifactorial
AMMECR1	XLR
PRRX1	AR
SPEG	AR
VIPAS39	AR
CDMP1	AR
TNNC1	AD
EMD	XLR
PPKP1B	AD
DYX2	Autosomal dominant quantitative trait locus (QTL) 6p21.3
MIP	AD
MCOPS8	AD
ZMYND10	AR
DYX8	AD
CXORF56	X-linked
DUOX2	AR
Caused by duplication of 59kb on chromosome 2q35 {UMLS C3806016}	AD
EPB41	AD
DFNB20	AR
SNORD118	AR
Caused by palindrome-mediated interchromosomal insertions on chromosome Xq27.1 {UMLS C3275577}	XLD
CNSN	AR
Susceptibility conferred by duplication of the homolog of the mouse T brachyury gene (T	AD
TIMM8A	XLR
DFNB33	AR
AP2S1	AD
DFNB32	AR
ZMYND11	AD
L10	XLR
AFF4	AD
NT5E	AR
AFF2	XLR
RIT1	AD
PRDM5	AR
LARGE1	AR
PNPLA1	AR
RRM2B	AR, AD
PNPLA6	AR
ODAPH	AR
Contiguous gene syndrome caused by 202 to 746 kb duplication on chromosome Xq25 {UMLS C4315504}	X-linked
IL1RAPL	XLR
NPPA	AR, AD
SMAR	AR
KIAA0196	AR, AD
FRZB	Multifactorial
CUX1	AD
MER	AR
PHKA1	XLR
GRIK2	AR
PSMNSW	AD
CCM2	AD
FRDA2	AR
PDP1	AR
LEPRE1	AR
UBA5	AR
GABBR2	Genetic factors seem to contribute only in light smokers and heavy smokers, AD
UBA1	XLR
BACH2	AD
PHKA2	XLR
TBCE	AR
KIAA0753	AR
HERC1	AR
ABCA12	AR
NAA15	AD
TP53	AR, AD, Somatic mutation
GNAQ	AD, Somatic mosaic
NAA10	XLR, X-linked
GNAS	Somatic mosaicism, AD, Somatic mutation
MED13L	AD
CDHR1	AR
DFNB27	AR
ARHGEF9	XLR
GAB1	AR
WWE	X-linked
ARHGEF6	XLR
NOGO	AR
WNT10A	AR, AD
GNAL	AD
EFL	AR
DPAGT1	AR
TOP3A	AR
UBE2T	AR
COL12A1	AD
CYP26C1	AR
DPF2	AD
FARS2	AR
STX1B	AD
LIPT2	AR
CLPX	AD
GLIS3	AR
ARHGEF2	AR
CRYGS	AD
CHIT	AR
MR1	AD
KRT3	AD
KRT2	AD
KRT1	AD
UCP2	AD
KRT5	AR, AD
KRT4	AD
GNMT	AR
IL1B	AD
KRT8	Autosomal recessive cases, probably heterogeneous
CRYGD	AD
KMT2D	AD
BTBD12	AR
FLG2	AR
FRMD7	X-linked
SIK1	AD
HMGIC	Somatic mutation
SIK3	AR
KRT81	AD
CFSS	XLD
KRT83	AR, AD
MASTL	AD
KRT85	AR
CASK	XLD
GPR88	AR
CAST	AR
PRBNS	AR
KRT6B	AD
TSEN2	AR
Caused by mutation in the solute carrier family 34	AR
CASR	AR, AD
SANS	AR
NMNAT1	AR
ALOX12B	AR
RPS19	AD
TAS2R38	AD
COCH	AR, AD
EPB41L1	AD
FAM46A	AR
NDUFA2	AR
MTM1	XLR
NDUFA1	AR, XLR
COMP	AD
WAC	AD
COMT	AD
NDUFA9	AR
RS1	XLR
SALL4	AD
SALL1	AD
FDXR	AR
SALL2	AR
COMA	AR
BCL11B	AD
WAS	XLR
ATOD1	AD
GPR68	AR
TARDBP	AD
6A	AD
6B	AR, AD
DFNA5	AD
6D	AR
TBL1XR1	AD
IL10	Unproved inheritance
WEE2	AR
WNT1	AR
IL13	Autosomal dominant vs. multifactorial
AGXT	AR
GSDME	AD
WNT4	AR, AD
IL6	AD, Multifactorial, Autosomal recessive susceptibility
IL7	AR
BOLA3	AR
PPP1R15B	AR
GPAA1	AR
{313700.0014})	XLR
C9orf72	AD
DCAF17	AR
KRT9	AD
ZMPSTE24	AR
MOGS	AR
DFNA54	AD
GNS	AR
NDNC7	AD
COLGALT1	AR
DFNA51	AD
Caused by duplication of 0.9 - 1.2 Mb on 8q22.1 {UMLS C4011665}	AD
DFNA53	AD
DFNA58	AD
AIP	AD
ADGRE2	AD
INSR	AR, AD
RC14S	Isolated cases
MKS	AR
GNE	AR, AD
{609557})	AR
TXNL4A	AR
RB1CC1	AD
OTOG	AR
FYB	AR
SPTBN2	AR, AD
AIC	XLD
DDH1	Multifactorial
GDF9	AR
DDD3	AD
NSL	AD
OI16	AR
TYS	AD
GDF3	AD
GDF2	AD
GDF1	AR, AD
TFAP2B	AD
GDF6	AR, AD
GDF5	AR, AD
GBE1	AR
DACT1	AD
STRA6	AR
PI12	AD
Contiguous gene syndrome caused by deletion (minimum 1.3Mb) of chromosome 6pter-p24 {UMLS C2748947}	Isolated cases
GDNF	AD
SUOX	AR
DPP6	AD
PUS3	AR
CPT1A	AR
IX	AR, AD, XLR
CPT1C	AD
SLC44A4	AD
SULT2B1	AR
Caused by 1 to 3.8-Mb duplication on chromosome 2q31.1 {UMLS C4229821}	AD
POU3F4	XLR
IQ	AR, XLD
IV	AD, XLD, AR, Mitochondrial, XLR, X-linked
II	AR, AD, Multifactorial, XLR
Caused by imprinting defect on chromosome 14q32 {UMLS C4015592}	Autosomal dominant (loss of paternal allele)
MCM5	AR
MCM4	AR
HPS4	AR
CYP2A6	Genetic factors seem to contribute only in light smokers and heavy smokers, AD, Somatic mutation
MLC1	AR
SEDL	XLR
TMEM16E	AR
IC	AD
LIPN	AR
{608284})	AD
MCM9	AR
MCM8	AR
SQSTM1	AR, AD
SAMHD1	AR, AD
A13	AD
CARD14	AD
AMACR	AR
GRHL3	AD
BRWD3	XLR
ANO10	AR
POGZ	AD
Contiguous gene syndrome caused by deletion of the paternal allele of the imprinted region at 15q11.2	Autosomal dominant (loss of paternal allele)
NDUFS2	AR
NDUFS3	AR
COQ9	AR
SECISBP2	AR
DELXq21	XLR
PRUNE1	AR
NDUFS8	AR
COQ4	AR
COQ7	AR
COQ6	AR
HEPACAM	AR, AD
COQ2	AR, AD
DHDDS	AR, AD
TSR2	XLR
TIMP3	AD
PROM1	AR, AD
NAD	AR
NIDDM3	AD
TEX11	XLR
PARN	AR, AD
FBXL4	AR
TECTA	AR, AD
EPS	AR
HBB	AR, AD
CHMP2B	AD
EPO	AR, AD
PNLIP	AR
HLA-DQA1	AR
MDS1	AD
MS4A2	AD
AUTS3	Isolated cases
MS4A1	AR
ZNF141	AR
NHLRC2	AR
NHLRC1	AR
TFAP2A	AD
LYR	AR
DYT21	AD
ZNF148	AD
CCDC88C	AR, AD
DSC2	AD
DSC3	AR
NDUFB11	XLD, AR, X-linked
WDR66	AR
IGAD1	AD
GPR101	X-linked
CDKN2A	AD
OSMR	AD
PHC1	AR
Caused by mutation in the YY1-associated protein-1 gene ({607860.0001})	AR
COX8A	AR
TRMT10A	AR
SEC24D	AR
DUP2q31.1	AD
PYGL	AR
RNASEL	AD
DEL9p	AD
DDX3X	XLD
TNPO3	AD
VAMP1	AR, AD
SOD1	AD
DEL2p16.1-p15	Isolated cases
GRXCR1	AR
GRXCR2	AR
SVA	XLR
MSN	XLR
KCNN4	AD
FASLG	AD, Somatic mutation
RPS15A	AD
C9ORF72	AD
PMS2	AR
BRAT1	AR
OTUD6B	AR
BCS1	AR
ETM2	AD
NACC1	AD
A contiguous gene syndrome caused by deletion of 2.2 to 10.6Mb of terminal 1p36 {UMLS C3277020}	Isolated cases
VPS13A	AR
ROBO3	AR
(11|22)(q23|q11.2)	Inherited chromosomal imbalance
MST1R	AD
ROBO4	AD
Supernumerary inv dup(22)(q11) chromosome	AD
TLR2	AD, Somatic mutation
TLR3	AD
SERPING1	AD
21B	AR, AD
21A	AD
GRIP1	AR
MYO15A	AR
HSN2	AR
SLC19A2	AR
SLC19A3	AR
SCN3B	AD
CCDC65	AR
VDR	AR, AD
UPF3	XLR
SLC7A9	AD
HLA-C	Multifactorial
HLA-B	Multifactorial
TRAK1	AR
NFKBIA	AD
HLA-G	Autosomal dominant vs. multifactorial
PABPN1	AD
FMN2	AR
DHMN1	AD
CLTC	AD
DEL17q12	AD
HBHR	AD
DEAD	AD
NGLY1	AR
CRYGB	AD
FLG	AD
MMDK	AD
CANDN1	AD
ANLN	AD
KAL1	XLR
UBE3B	AR
AMER1	XLD
UBE3A	Autosomal dominant (loss of maternal allele)
IDDM1	Autosomal recessive susceptibility
OTOGL	AR
HSD3B7	AR
SLC35A1	AR
NR5A1	AD
SLC35A3	AR
RPGRIP1	AR
DLX5	AR, AD
MYD88	AD
MPDZ	AR
ADGRG2	X-linked
FLJ90140	AR
TRH	AR
EPM2A	AR
ACVRL1	AD
ISCA1	AR
HSD3B2	AR
ISCA2	AR
PCAP	Somatic mutation
PGM1	AR
LMX1B	AD
SLC26A1	AR
SLC26A2	AR
DRAM2	AR
SLC26A4	AR
SLC26A5	AR
NMDA	AD
FGF8	AD
SLC26A8	AD
TKCR	X-linked with incomplete dominance (Xq28)
FGF5	AR
SCAX5	XLR
FGF3	AR
ACTB	AD
SERPINA7	X-linked
RBM8A	AR
PMP22	AD
BCAM	AR
STAT1	AR, AD
SLC25A46	AR
DNMBP	AR
ALPQTL1	AD
GCH1	AR, AD
HDAC8	XLD
HOXD13	Isolated cases, AD
TNFAIP3	AD
STRADA	AR
PDZD7	AR
CORD8	AR
ELOVL4	AR, AD
HTT	AR, AD
NUP155	AR
RNPC3	AR
CORD1	Autosomal dominant (18q21.1-qter)
TMEM165	AR
BEST1	AD
XPNPEP3	AR
FOXP2	AD
FOXG1	AD
VAX1	AR
FOXP3	XLR, Autosomal recessive susceptibility
PDE3A	AD
RPL35A	AD
OPCML	Somatic mutation
KTWS	Isolated cases
CARS2	AR
MRT16	AR
GNRHR	AR
KRT86	AD
Caused by a deletion of chromosome 9p {UMLS C2675024}	AD
ATP1B1	Multifactorial
Contiguous gene syndrome caused by deletion of 7.1 to 8.7Mb of 16p12.2-p11.2 {UMLS C4013753}	Isolated cases
CWF19L1	AR
NDP	X-linked recessive X-linked dominant (1 family), XLR
LMBR1	AR, AD
TP63	AD
LIPH	AR
NSDHL	XLD, XLR
RD3	AR
SGCG	AR
SGCE	AD
SGCD	AR
GP1BA	AR, AD
SGCB	AR
MARS2	AR
CNKSR2	X-linked
ovalbumin)	AR
BCO1	AD
{601397.0002})	AR
WRN	AR
